,knowledge,bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
103,5,34,1,1,0,0,0,0,0,0,1,4,2,14
104,4,31,1,0,0,0,1,0,0,0,2,6,2,13
105,3,32,3,1,0,0,0,0,0,0,1,4,2,6
106,5,27,1,1,0,0,0,0,0,0,1,5,2,14
107,5,31,2,0,1,0,0,0,0,0,1,5,1,18
108,4,32,1,1,0,0,0,0,0,0,1,5,2,24
109,6,29,4,1,0,0,0,0,0,0,1,5,2,18
110,1,26,1,1,0,0,0,0,0,0,1,5,2,14
111,4,32,1,0,0,0,0,1,0,0,4,6,2,13
112,4,32,2,1,0,0,0,0,0,0,1,5,1,12
113,4,35,2,0,0,0,0,0,1,0,1,5,2,27
114,2,32,2,1,0,0,0,0,0,0,1,4,1,7
115,4,25,2,1,0,0,0,0,0,0,1,5,1,24
116,6,31,1,0,0,1,0,0,0,0,1,5,3,23
117,7,35,1,1,0,0,0,0,0,0,2,5,2,24
118,5,27,1,0,0,1,0,0,0,0,3,5,2,27
119,6,31,1,0,0,1,0,0,0,0,3,5,2,7
120,7,29,1,1,0,0,0,0,0,0,2,4,2,24
121,6,29,1,0,0,0,0,0,1,0,3,4,2,27
122,6,36,2,0,0,0,0,1,0,0,3,4,1,27
123,1,31,2,0,0,0,0,0,1,0,2,6,2,4
124,6,33,1,0,0,1,0,0,0,0,3,5,1,27
125,5,29,1,0,1,0,0,0,0,0,3,6,3,8
126,7,31,1,0,0,0,0,1,0,0,2,5,2,27
127,6,33,1,0,0,1,0,0,0,0,1,6,2,7
128,7,24,2,0,1,0,0,0,0,0,3,5,2,27
129,5,28,1,0,0,0,1,0,0,0,3,6,2,8
130,7,29,1,0,0,0,0,1,0,0,2,5,2,13
131,6,39,2,1,0,0,0,0,0,0,1,5,2,1
132,4,36,1,0,0,1,0,0,0,0,3,4,1,4
133,6,29,2,0,0,0,0,1,0,0,2,5,1,27
134,7,29,1,0,0,0,0,0,1,0,1,5,1,27
135,7,35,4,0,1,0,0,0,0,0,5,6,1,3
136,6,26,1,0,0,0,0,1,0,0,3,6,2,8
137,6,33,1,0,0,0,0,0,0,1,2,4,2,27
138,6,32,3,0,0,0,0,0,0,1,2,4,2,27
139,5,31,1,0,0,0,0,1,0,0,2,4,2,6
140,6,34,1,0,0,0,0,0,1,0,4,4,1,16
141,6,35,1,0,0,0,0,0,1,0,3,4,1,27
142,7,36,1,0,0,0,0,0,1,0,2,2,2,27
143,5,23,1,0,0,0,0,0,1,0,5,6,2,7
144,6,34,1,0,0,0,0,0,1,0,3,5,2,9
145,6,34,1,0,0,1,0,0,0,0,3,5,1,27
146,6,33,2,0,0,0,1,0,0,0,2,5,5,27
147,4,34,4,0,0,0,0,0,1,0,2,6,1,7
148,4,28,2,1,0,0,0,0,0,0,1,5,1,24
149,5,31,3,0,0,0,0,1,0,0,3,4,1,27
150,6,35,1,0,0,1,0,0,0,0,3,5,2,4
151,1,37,2,0,0,0,0,0,1,0,2,4,1,27
152,6,26,1,0,0,1,0,0,0,0,3,5,2,8
153,6,34,1,0,0,0,0,0,1,0,2,6,2,27
154,6,29,3,0,0,1,0,0,0,0,4,4,1,8
155,6,31,1,0,0,0,0,0,1,0,2,6,2,27
156,6,33,1,0,0,0,0,1,0,0,3,6,2,7
157,4,37,2,0,0,0,0,1,0,0,1,3,1,27
158,7,31,1,0,1,0,0,0,0,0,3,4,2,27
159,7,32,1,0,0,1,0,0,0,0,2,4,2,8
160,7,32,5,0,0,0,0,0,1,0,3,3,1,27
161,7,38,2,0,0,0,0,1,0,0,3,6,2,17
162,6,32,2,0,0,0,0,1,0,0,3,5,1,5
163,7,30,1,0,0,0,1,0,0,0,2,5,2,7
