,human_impact,economy_impact,resources_impact,environment_impact,knowledge,overall_bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
88,14,11,13,16,5,44,5,1,0,0,0,0,0,0,3,5,1,24
89,15,15,15,22,4,57,5,0,0,0,1,0,0,0,2,5,1,27
90,10,10,8,14,4,36,4,0,0,1,0,0,0,0,2,6,1,7
92,10,9,9,14,4,36,4,1,0,0,0,0,0,0,1,6,2,24
93,11,11,11,15,5,40,4,1,0,0,0,0,0,0,1,6,1,14
94,9,11,10,19,7,43,4,0,0,0,0,1,0,0,3,4,2,27
96,11,10,11,19,5,44,4,0,1,0,0,0,0,0,1,5,1,13
97,15,13,14,18,5,50,5,1,0,0,0,0,0,0,1,5,2,14
99,10,12,9,18,3,43,4,1,0,0,0,0,0,0,1,5,2,19
100,12,13,12,13,7,42,4,0,0,0,0,0,1,0,3,6,2,27
101,15,13,15,21,4,54,5,1,0,0,0,0,0,0,3,5,1,16
102,12,13,14,16,6,47,4,1,0,0,0,0,0,0,2,6,1,8
103,13,13,12,17,5,46,5,1,0,0,0,0,0,0,1,4,2,14
104,14,15,14,21,4,55,5,0,0,0,1,0,0,0,2,6,2,13
105,9,10,9,17,3,40,3,1,0,0,0,0,0,0,1,4,2,6
106,13,11,11,16,5,43,5,1,0,0,0,0,0,0,1,5,2,14
107,11,11,10,16,5,41,4,0,1,0,0,0,0,0,1,5,1,18
108,14,11,15,20,4,50,5,1,0,0,0,0,0,0,1,5,2,24
109,8,10,7,14,6,35,2,1,0,0,0,0,0,0,1,5,2,18
111,14,13,13,21,4,52,5,0,0,0,0,1,0,0,4,6,2,13
112,12,10,12,14,4,40,4,1,0,0,0,0,0,0,1,5,1,12
113,12,9,12,18,4,43,4,0,0,0,0,0,1,0,1,5,2,27
115,11,10,9,13,4,37,4,1,0,0,0,0,0,0,1,5,1,24
116,13,14,13,23,6,55,5,0,0,1,0,0,0,0,1,5,3,23
117,15,14,15,23,7,57,5,1,0,0,0,0,0,0,2,5,2,24
118,13,11,14,16,5,45,5,0,0,1,0,0,0,0,3,5,2,27
119,15,14,15,21,6,55,5,0,0,1,0,0,0,0,3,5,2,7
120,14,13,14,21,7,53,5,1,0,0,0,0,0,0,2,4,2,24
121,15,14,15,19,6,53,5,0,0,0,0,0,1,0,3,4,2,27
122,12,11,11,16,6,42,4,0,0,0,0,1,0,0,3,4,1,27
124,11,14,13,17,6,47,5,0,0,1,0,0,0,0,3,5,1,27
125,13,14,14,17,5,49,5,0,1,0,0,0,0,0,3,6,3,8
126,14,12,14,20,7,51,5,0,0,0,0,1,0,0,2,5,2,27
127,15,14,15,23,6,57,5,0,0,1,0,0,0,0,1,6,2,7
128,11,14,12,15,7,46,4,0,1,0,0,0,0,0,3,5,2,27
129,14,13,14,18,5,50,5,0,0,0,1,0,0,0,3,6,2,8
130,15,13,14,19,7,51,5,0,0,0,0,1,0,0,2,5,2,13
131,13,10,11,14,6,39,4,1,0,0,0,0,0,0,1,5,2,1
132,14,9,13,19,4,46,5,0,0,1,0,0,0,0,3,4,1,4
133,10,11,13,16,6,43,4,0,0,0,0,1,0,0,2,5,1,27
134,13,14,14,19,7,51,5,0,0,0,0,0,1,0,1,5,1,27
136,14,14,14,17,6,50,5,0,0,0,0,1,0,0,3,6,2,8
137,13,9,13,19,6,45,5,0,0,0,0,0,0,1,2,4,2,27
138,11,10,12,16,6,42,3,0,0,0,0,0,0,1,2,4,2,27
139,15,14,15,21,5,55,5,0,0,0,0,1,0,0,2,4,2,6
140,15,14,15,24,6,58,5,0,0,0,0,0,1,0,4,4,1,16
141,15,13,13,20,6,51,5,0,0,0,0,0,1,0,3,4,1,27
142,15,14,14,23,7,56,5,0,0,0,0,0,1,0,2,2,2,27
143,14,13,14,13,5,45,5,0,0,0,0,0,1,0,5,6,2,7
144,15,15,15,23,6,58,5,0,0,0,0,0,1,0,3,5,2,9
145,13,12,14,20,6,50,5,0,0,1,0,0,0,0,3,5,1,27
146,10,11,11,16,6,41,4,0,0,0,1,0,0,0,2,5,5,27
148,12,9,11,17,4,42,4,1,0,0,0,0,0,0,1,5,1,24
149,12,11,13,20,5,49,3,0,0,0,0,1,0,0,3,4,1,27
150,15,15,15,24,6,59,5,0,0,1,0,0,0,0,3,5,2,4
152,14,10,14,17,6,46,5,0,0,1,0,0,0,0,3,5,2,8
153,15,15,15,23,6,58,5,0,0,0,0,0,1,0,2,6,2,27
154,10,10,11,14,6,39,3,0,0,1,0,0,0,0,4,4,1,8
155,14,13,13,22,6,53,5,0,0,0,0,0,1,0,2,6,2,27
