,knowledge,bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
103,4,34,1,1,0,0,0,0,0,0,1,4,2,14
104,4,31,1,0,0,0,1,0,0,0,2,6,2,13
105,3,32,3,1,0,0,0,0,0,0,1,4,2,6
106,4,27,1,1,0,0,0,0,0,0,1,5,2,14
107,5,31,2,0,1,0,0,0,0,0,1,5,1,18
108,3,32,1,1,0,0,0,0,0,0,1,5,2,24
109,5,29,4,1,0,0,0,0,0,0,1,5,2,18
110,1,26,1,1,0,0,0,0,0,0,1,5,2,14
111,3,32,1,0,0,0,0,1,0,0,4,6,2,13
112,4,32,2,1,0,0,0,0,0,0,1,5,1,12
113,3,35,2,0,0,0,0,0,1,0,1,5,2,27
114,2,32,2,1,0,0,0,0,0,0,1,4,1,7
115,4,25,2,1,0,0,0,0,0,0,1,5,1,24
116,6,31,1,0,0,1,0,0,0,0,1,5,3,23
117,6,35,1,1,0,0,0,0,0,0,2,5,2,24
118,4,27,1,0,0,1,0,0,0,0,3,5,2,27
119,5,31,1,0,0,1,0,0,0,0,3,5,2,7
120,6,29,1,1,0,0,0,0,0,0,2,4,2,24
121,5,29,1,0,0,0,0,0,1,0,3,4,2,27
122,5,36,2,0,0,0,0,1,0,0,3,4,1,27
123,1,31,2,0,0,0,0,0,1,0,2,6,2,4
124,5,33,1,0,0,1,0,0,0,0,3,5,1,27
125,4,29,1,0,1,0,0,0,0,0,3,6,3,8
126,6,31,1,0,0,0,0,1,0,0,2,5,2,27
127,5,33,1,0,0,1,0,0,0,0,1,6,2,7
128,6,24,2,0,1,0,0,0,0,0,3,5,2,27
129,4,28,1,0,0,0,1,0,0,0,3,6,2,8
130,6,29,1,0,0,0,0,1,0,0,2,5,2,13
131,5,39,2,1,0,0,0,0,0,0,1,5,2,1
132,3,36,1,0,0,1,0,0,0,0,3,4,1,4
133,5,29,2,0,0,0,0,1,0,0,2,5,1,27
134,6,29,1,0,0,0,0,0,1,0,1,5,1,27
135,6,35,4,0,1,0,0,0,0,0,5,6,1,3
136,5,26,1,0,0,0,0,1,0,0,3,6,2,8
137,5,33,1,0,0,0,0,0,0,1,2,4,2,27
138,6,32,3,0,0,0,0,0,0,1,2,4,2,27
139,5,31,1,0,0,0,0,1,0,0,2,4,2,6
140,5,34,1,0,0,0,0,0,1,0,4,4,1,16
141,5,35,1,0,0,0,0,0,1,0,3,4,1,27
142,6,36,1,0,0,0,0,0,1,0,2,2,2,27
143,4,23,1,0,0,0,0,0,1,0,5,6,2,7
144,5,34,1,0,0,0,0,0,1,0,3,5,2,9
145,7,34,1,0,0,1,0,0,0,0,3,5,1,27
146,5,33,2,0,0,0,1,0,0,0,2,5,5,27
147,3,34,4,0,0,0,0,0,1,0,2,6,1,7
148,3,28,2,1,0,0,0,0,0,0,1,5,1,24
149,4,31,3,0,0,0,0,1,0,0,3,4,1,27
150,5,35,1,0,0,1,0,0,0,0,3,5,2,4
151,1,37,2,0,0,0,0,0,1,0,2,4,1,27
152,5,26,1,0,0,1,0,0,0,0,3,5,2,8
153,5,34,1,0,0,0,0,0,1,0,2,6,2,27
154,6,29,3,0,0,1,0,0,0,0,4,4,1,8
155,5,31,1,0,0,0,0,0,1,0,2,6,2,27
156,5,33,1,0,0,0,0,1,0,0,3,6,2,7
157,4,37,2,0,0,0,0,1,0,0,1,3,1,27
158,6,31,1,0,1,0,0,0,0,0,3,4,2,27
159,6,32,1,0,0,1,0,0,0,0,2,4,2,8
160,6,32,5,0,0,0,0,0,1,0,3,3,1,27
161,6,38,2,0,0,0,0,1,0,0,3,6,2,17
162,5,32,2,0,0,0,0,1,0,0,3,5,1,5
163,6,30,1,0,0,0,1,0,0,0,2,5,2,7
164,6,39,4,0,0,0,1,0,0,0,3,5,1,9
165,6,36,2,0,0,0,1,0,0,0,2,5,1,7
166,2,38,5,0,0,0,1,0,0,0,2,4,1,25
167,4,35,1,0,0,0,1,0,0,0,3,6,1,27
168,2,36,3,1,0,0,0,0,0,0,3,5,1,2
169,5,31,2,0,0,1,0,0,0,0,2,6,1,9
170,6,36,5,0,0,1,0,0,0,0,5,6,1,8
171,4,33,1,0,1,0,0,0,0,0,3,6,1,16
172,4,38,4,0,0,1,0,0,0,0,3,5,1,13
173,3,30,2,1,0,0,0,0,0,0,3,3,2,8
174,5,34,1,1,0,0,0,0,0,0,1,5,2,8
175,5,31,2,0,0,0,0,1,0,0,4,4,2,25
176,6,37,2,0,0,0,0,0,1,0,3,4,1,5
177,3,37,3,1,0,0,0,0,0,0,1,5,1,15
178,5,32,1,0,0,0,1,0,0,0,3,4,2,8
179,6,27,1,0,0,0,0,1,0,0,5,3,1,27
180,2,29,1,0,0,0,0,1,0,0,3,6,2,7
181,5,26,1,0,0,1,0,0,0,0,2,5,2,27
182,6,34,1,0,0,1,0,0,0,0,2,4,2,8
183,6,26,1,1,0,0,0,0,0,0,5,5,1,17
184,6,34,1,1,0,0,0,0,0,0,3,5,2,24
185,6,32,1,0,0,0,1,0,0,0,3,5,1,27
186,5,27,1,0,0,1,0,0,0,0,5,5,1,7
187,6,24,1,0,0,1,0,0,0,0,1,5,2,19
188,4,38,3,0,0,0,1,0,0,0,3,6,1,26
189,5,36,1,0,0,0,0,1,0,0,1,6,2,7
190,4,27,1,0,0,1,0,0,0,0,3,5,1,26
191,5,29,1,1,0,0,0,0,0,0,3,6,1,9
192,4,36,1,0,0,0,0,0,1,0,3,5,2,6
193,4,35,2,0,0,1,0,0,0,0,2,5,1,14
194,5,30,1,0,0,0,1,0,0,0,1,5,2,26
195,5,35,1,0,0,0,0,0,1,0,5,5,2,2
196,6,32,2,0,0,0,1,0,0,0,4,4,2,8
197,6,31,1,0,0,1,1,0,0,0,3,6,2,27
198,2,35,1,0,0,0,1,0,0,0,3,6,2,16
199,5,36,3,0,0,0,0,1,0,0,1,6,2,15
200,5,34,1,0,0,1,0,0,0,0,2,6,2,1
201,1,29,1,0,0,0,0,1,0,0,5,5,2,6
202,6,34,1,0,0,1,0,0,0,0,3,6,2,18
203,3,42,2,0,0,1,0,0,0,0,2,5,5,6
204,6,24,1,0,0,0,0,1,0,0,2,5,2,3
205,3,33,2,1,0,0,0,0,0,0,1,5,2,12
206,5,32,1,0,0,1,0,0,0,0,2,5,1,4
207,3,38,2,0,0,0,0,1,0,0,3,3,2,27
208,5,27,2,0,0,1,0,0,0,0,2,5,2,6
209,5,25,1,0,0,0,0,0,0,1,2,4,2,27
210,5,32,3,0,0,0,0,1,0,0,2,5,2,8
211,4,22,1,0,1,0,0,0,0,0,5,5,5,9
212,6,36,2,0,0,0,0,1,0,0,3,4,2,9
213,3,35,3,0,0,0,0,1,0,0,2,5,2,27
214,5,24,1,0,0,0,0,0,1,0,3,5,2,27
215,3,32,1,0,0,0,0,1,0,0,3,5,1,7
216,6,35,1,0,0,0,1,0,0,0,3,3,2,1
217,5,31,1,0,0,0,0,1,0,0,3,4,1,27
218,6,34,1,0,0,0,1,0,0,0,1,5,2,27
219,2,31,1,0,0,0,0,0,1,0,4,5,2,27
220,3,30,1,0,0,1,0,0,0,0,2,5,2,6
221,5,33,1,0,0,0,1,0,0,0,2,6,1,13
222,6,39,1,0,0,0,0,1,0,0,5,5,2,27
223,5,34,1,0,0,0,1,0,0,0,3,4,1,19
224,6,34,1,0,1,0,0,0,0,0,1,4,1,19
225,5,42,1,0,0,0,0,1,0,0,3,6,1,8
226,6,30,2,0,0,0,0,1,0,0,1,5,2,8
227,4,32,1,0,0,1,0,0,0,0,4,6,1,5
228,3,29,2,1,0,0,0,0,0,0,1,6,1,24
229,4,36,3,0,0,0,0,1,0,0,2,4,1,23
230,4,31,2,0,0,0,0,1,0,0,1,5,1,5
231,3,34,2,0,0,0,0,1,0,0,1,6,1,2
232,3,38,2,0,0,0,0,1,0,0,1,6,1,7
233,6,33,1,0,0,0,0,1,0,0,1,5,1,5
234,2,30,1,0,0,1,0,0,0,0,3,6,2,7
235,4,33,1,0,0,0,1,0,0,0,3,6,1,7
236,6,36,2,0,1,0,0,0,0,0,3,4,1,27
237,6,28,1,1,0,0,0,0,0,0,1,5,1,8
238,4,34,1,0,0,1,0,0,0,0,2,6,1,13
239,5,30,1,1,0,0,0,0,0,0,2,6,1,8
